x,y,y_exacta,error
0,2,2,0
0.1,2,2.00017,0.00016666
0.2,2.0005,2.00133,0.000832889
0.3,2.0025,2.00449,0.00199545
0.4,2.00699,2.01064,0.00364449
0.5,2.01497,2.02073,0.00575994
0.6,2.02737,2.03568,0.00830854
0.7,2.04513,2.05637,0.0112421
0.8,2.06909,2.08359,0.0144972
0.9,2.10002,2.11802,0.017997
1,2.13859,2.16025,0.0216549
1.1,2.18535,2.21073,0.0253797
1.2,2.24072,2.2698,0.0290813
1.3,2.30499,2.33766,0.0326772
1.4,2.3783,2.4144,0.0360964
1.5,2.46072,2.5,0.0392836
1.6,2.55215,2.59435,0.0421996
1.7,2.65246,2.69728,0.0448219
1.8,2.76142,2.80856,0.0471422
1.9,2.87875,2.92791,0.0491644
2,3.00415,3.05505,0.0509015
2.1,3.1373,3.18967,0.0523727
